Codigo;Antiguedad
80347;11
55820;7
93704;7
65418;6
98101;4
87791;17
81587;5
81598;12
79645;8
74259;20
64317;18
98197;14
80321;15
87208;15
90369;6
99973;14
98384;8
84331;10
92186;14
66782;16
98972;12
80379;8
98381;7
81591;15
77067;17
98086;11
95224;6
98404;8
75533;20
94203;12
97414;8
98537;12
99977;16
94682;9
99559;7
79709;7
98527;13
79652;11
81618;17
87658;18
97863;14
86950;5
86956;5
81626;6
86965;5
87031;11
39645;15
71249;15
94091;13
57588;16
78192;5
89009;10
97049;15
